Kanalnummer	Impulse	Fit(Impulse)	Fit(Impulse)
Kanal/#	Impulse/#	Impulse/#	Impulse/#

560	152	18	4
561	163	18	4
562	167	18	4
563	175	18	4
564	169	18	4
565	143	18	4
566	175	18	4
567	146	18	4
568	122	18	4
569	178	18	4
570	152	18	4
571	180	18	4
572	156	18	4
573	163	18	4
574	179	18	4
575	203	18	4
576	130	18	4
577	164	18	4
578	146	18	4
579	142	18	4
580	169	18	4
581	145	18	4
582	168	18	4
583	120	18	4
584	131	18	4
585	166	18	4
586	138	18	4
587	126	18	4
588	181	18	4
589	131	18	4
590	127	18	4
591	159	18	4
592	124	18	4
593	151	18	4
594	177	18	4
595	147	18	4
596	148	18	4
597	119	18	4
598	163	18	4
599	144	18	4
600	118	18	4
601	140	18	4
602	132	18	4
603	179	18	4
604	137	18	4
605	145	18	4
606	147	18	4
607	176	18	4
608	115	18	4
609	134	18	4
610	139	18	4
611	125	18	4
612	152	18	4
613	131	18	4
614	140	18	4
615	120	18	4
616	139	18	4
617	145	18	4
618	124	18	4
619	137	18	4
620	179	18	4
621	140	18	4
622	121	18	4
623	138	18	4
624	101	18	4
625	147	18	4
626	147	18	4
627	191	18	4
628	118	18	4
629	104	18	4
630	153	18	4
631	135	18	4
632	122	18	4
633	144	18	4
634	125	18	4
635	170	18	4
636	139	18	4
637	118	18	4
638	138	18	4
639	178	18	4
640	93	18	4
641	130	18	4
642	147	18	4
643	134	18	4
644	126	18	4
645	118	18	4
646	177	18	4
647	94	18	4
648	118	18	4
649	154	18	4
650	137	18	4
651	139	18	4
652	156	18	4
653	144	18	4
654	135	18	4
655	116	18	4
656	126	18	4
657	122	18	4
658	146	18	4
659	134	18	4
660	134	18	4
661	113	18	4
662	138	18	4
663	116	18	4
664	132	18	4
665	152	18	4
666	123	18	4
667	142	18	4
668	133	18	4
669	139	18	4
670	136	18	4
671	178	18	4
672	101	18	4
673	139	18	4
674	113	18	4
675	130	18	4
676	135	18	4
677	117	18	4
678	141	18	4
679	135	18	4
680	117	18	4
681	161	18	4
682	120	18	4
683	124	18	4
684	143	18	4
685	104	18	4
686	136	18	4
687	112	18	4
688	130	18	4
689	133	18	4
690	127	18	4
691	141	18	4
692	159	18	4
693	123	18	4
694	125	18	4
695	135	18	4
696	99	18	4
697	137	18	4
